state,utility_clean_names,service_type,utility_type,year,month,number_of_customers_total,number_of_disconnections,number_of_reconnections,disconnection_rate,reconnection_rate,State,Utility Name,Year,Month,Total Disconnections,Total Connections,Disconnection Rate
Alabama,City of Dothan,Electric,Muni,2020,June,26151,1260,1220,0.0481817138923942,0.046652135673588,Alabama,City of Dothan,2020,June,1260,26151,0.0481817138923942
Alabama,City of Dothan,Electric,Muni,2020,July,26121,1284,1155,0.0491558516136442,0.0442172964281613,Alabama,City of Dothan,2020,July,1284,26121,0.0491558516136442
Alabama,City of Dothan,Electric,Muni,2020,August,26171,1627,1463,0.062168048603416,0.055901570440564,Alabama,City of Dothan,2020,August,1627,26171,0.062168048603416
Alabama,City of Dothan,Electric,Muni,2020,September,26180,1661,1459,0.0634453781512605,0.055729564553094,Alabama,City of Dothan,2020,September,1661,26180,0.0634453781512605
Alabama,City of Dothan,Electric,Muni,2020,October,26251,1562,1390,0.0595024951430422,0.0529503637956649,Alabama,City of Dothan,2020,October,1562,26251,0.0595024951430422
Alabama,City of Dothan,Electric,Muni,2020,November,26194,1579,1326,0.0602809803771856,0.0506222799114301,Alabama,City of Dothan,2020,November,1579,26194,0.0602809803771856
Alabama,City of Dothan,Electric,Muni,2020,December,26034,1722,1598,0.0661442728739341,0.0613812706460782,Alabama,City of Dothan,2020,December,1722,26034,0.0661442728739341
Alabama,City of Dothan,Electric,Muni,2021,January,26293,1489,1354,0.0566310424827901,0.0514965960521812,Alabama,City of Dothan,2021,January,1489,26293,0.0566310424827901
Alabama,City of Dothan,Electric,Muni,2021,February,26192,1242,1070,0.0474190592547343,0.0408521686010996,Alabama,City of Dothan,2021,February,1242,26192,0.0474190592547343
Alabama,City of Dothan,Electric,Muni,2021,March,26417,1260,1164,0.0476965590339554,0.0440625354885112,Alabama,City of Dothan,2021,March,1260,26417,0.0476965590339554
Alabama,City of Dothan,Electric,Muni,2021,April,26257,1295,1224,0.0493201812849907,0.0466161404577827,Alabama,City of Dothan,2021,April,1295,26257,0.0493201812849907
Alabama,City of Dothan,Electric,Muni,2021,May,26325,1216,1056,0.0461918328584995,0.0401139601139601,Alabama,City of Dothan,2021,May,1216,26325,0.0461918328584995
Alabama,City of Dothan,Electric,Muni,2021,June,26404,1299,1177,0.0491970913497955,0.0445765793061657,Alabama,City of Dothan,2021,June,1299,26404,0.0491970913497955
Alabama,City of Dothan,Electric,Muni,2021,July,26358,1303,1138,0.0494347067304044,0.0431747477046817,Alabama,City of Dothan,2021,July,1303,26358,0.0494347067304044
Alabama,City of Dothan,Electric,Muni,2021,August,26521,1629,1468,0.0614230232645828,0.0553523622789488,Alabama,City of Dothan,2021,August,1629,26521,0.0614230232645828
Alabama,City of Dothan,Electric,Muni,2021,September,26459,1543,1379,0.0583166408405458,0.0521183718205526,Alabama,City of Dothan,2021,September,1543,26459,0.0583166408405458
Alabama,City of Dothan,Electric,Muni,2021,October,26354,1554,1387,0.0589663808150565,0.0526295818471579,Alabama,City of Dothan,2021,October,1554,26354,0.0589663808150565
Alabama,City of Dothan,Electric,Muni,2021,November,26416,1766,1309,0.0668534221683828,0.049553301029679,Alabama,City of Dothan,2021,November,1766,26416,0.0668534221683828
Alabama,City of Dothan,Electric,Muni,2021,December,26328,1243,1133,0.0472120935885749,0.043034032209055,Alabama,City of Dothan,2021,December,1243,26328,0.0472120935885749
Alabama,City of Dothan,Electric,Muni,2022,January,26376,1071,885,0.0406050955414013,0.0335532302092812,Alabama,City of Dothan,2022,January,1071,26376,0.0406050955414013
Alabama,City of Dothan,Electric,Muni,2022,February,26220,1543,1315,0.0588482074752098,0.0501525553012967,Alabama,City of Dothan,2022,February,1543,26220,0.0588482074752098
Alabama,City of Dothan,Electric,Muni,2022,March,26599,1372,1096,0.0515808864994925,0.0412045565622768,Alabama,City of Dothan,2022,March,1372,26599,0.0515808864994925
Arizona,Ajo Improvement Company,Electric,IOU,2020,January,823,0,0,0,0,Arizona,Ajo Improvement Company,2020,January,0,823,0
Arizona,Ajo Improvement Company,Electric,IOU,2020,February,823,0,0,0,0,Arizona,Ajo Improvement Company,2020,February,0,823,0
Arizona,Ajo Improvement Company,Electric,IOU,2020,March,823,0,0,0,0,Arizona,Ajo Improvement Company,2020,March,0,823,0
Arizona,Ajo Improvement Company,Electric,IOU,2020,April,823,0,0,0,0,Arizona,Ajo Improvement Company,2020,April,0,823,0
Arizona,Ajo Improvement Company,Electric,IOU,2020,May,823,0,0,0,0,Arizona,Ajo Improvement Company,2020,May,0,823,0
Arizona,Ajo Improvement Company,Electric,IOU,2020,June,823,0,0,0,0,Arizona,Ajo Improvement Company,2020,June,0,823,0
Arizona,Ajo Improvement Company,Electric,IOU,2020,July,823,0,0,0,0,Arizona,Ajo Improvement Company,2020,July,0,823,0
Arizona,Ajo Improvement Company,Electric,IOU,2020,August,823,0,0,0,0,Arizona,Ajo Improvement Company,2020,August,0,823,0
Arizona,Ajo Improvement Company,Electric,IOU,2020,September,823,0,0,0,0,Arizona,Ajo Improvement Company,2020,September,0,823,0
