State,Utility Name,Utility Type,Service Type,Year,Month,Total Disconnections,Total Reconnections,Total Connections,Disconnection Rate
Arizona,UNS Electric,Investor Owned Utility,Electric,2021,June,0,,242571,0
Arizona,UNS Electric,Investor Owned Utility,Electric,2021,July,0,,242571,0
Arizona,UNS Electric,Investor Owned Utility,Electric,2021,August,0,,242571,0
Arizona,UNS Electric,Investor Owned Utility,Electric,2021,September,0,,242571,0
Arizona,UNS Electric,Investor Owned Utility,Electric,2021,October,0,,242571,0
Arizona,UNS Electric,Investor Owned Utility,Electric,2021,November,0,,242571,0
Arizona,UNS Electric,Investor Owned Utility,Electric,2021,December,273,,242571,0.001125444
Arizona,UNS Electric,Investor Owned Utility,Electric,2022,January,,,241502,
Arizona,UNS Electric,Investor Owned Utility,Electric,2022,February,,,241502,
Arizona,UNS Electric,Investor Owned Utility,Electric,2022,March,,,241502,
Arizona,UNS Electric,Investor Owned Utility,Electric,2022,April,,,241502,
Arizona,UNS Electric,Investor Owned Utility,Electric,2022,May,,,241502,
Arizona,UNS Electric,Investor Owned Utility,Electric,2022,June,,,241502,
Arizona,UNS Electric,Investor Owned Utility,Electric,2022,July,,,241502,
Arizona,UNS Electric,Investor Owned Utility,Electric,2022,August,,,241502,
Arizona,UNS Electric,Investor Owned Utility,Electric,2022,September,,,241502,
Arizona,UNS Electric,Investor Owned Utility,Electric,2022,October,,,241502,
California,City and County of San Francisco,Municipal Utility,Electric,2016,June,,,120,
California,City and County of San Francisco,Municipal Utility,Electric,2016,July,,,120,
California,City and County of San Francisco,Municipal Utility,Electric,2016,August,,,120,
California,City and County of San Francisco,Municipal Utility,Electric,2016,September,,,120,
California,City and County of San Francisco,Municipal Utility,Electric,2016,October,,,120,
California,City and County of San Francisco,Municipal Utility,Electric,2016,November,,,68836,
California,City and County of San Francisco,Municipal Utility,Electric,2016,December,,,67178,
California,City and County of San Francisco,Municipal Utility,Electric,2017,January,,,68533,
California,City and County of San Francisco,Municipal Utility,Electric,2017,February,,,68533,
California,City and County of San Francisco,Municipal Utility,Electric,2017,March,,,68317,
California,City and County of San Francisco,Municipal Utility,Electric,2017,April,,,68191,
