State,Month,Year,Total Disconnections,Total Connections,Disconnection Rate
New Hampshire,March,2021,56.0,500000.0,0.0005600000000000001
New Hampshire,May,2020,0.0,500000.0,0.0
New Hampshire,May,2021,1154.0,500000.0,0.01154
New Hampshire,November,2020,229.0,500000.0,0.00229
New Hampshire,November,2021,426.0,300000.0,0.00426
New Hampshire,October,2020,26.0,500000.0,0.00026000000000000003
New Hampshire,October,2021,832.0,500000.0,0.008320000000000001
New Hampshire,September,2020,0.0,500000.0,0.0
New Hampshire,September,2021,1391.0,500000.0,0.013909999999999999
New Mexico,August,2021,3146.0,500000.0,0.03146
New Mexico,December,2021,2127.0,500000.0,0.021269999999999997
New Mexico,July,2021,200.0,100000.0,0.002
New Mexico,June,2021,133.0,100000.0,0.00133
New Mexico,May,2021,556.0,100000.0,0.00556
New Mexico,November,2021,2860.0,500000.0,0.0286
New Mexico,October,2021,3751.0,500000.0,0.03751
New Mexico,September,2021,5367.0,500000.0,0.05367
New York,April,2020,0.0,1000000.0,0.0
New York,April,2021,0.0,1000000.0,0.0
New York,August,2020,0.0,1000000.0,0.0
New York,August,2021,0.0,1000000.0,0.0
New York,December,2020,0.0,1000000.0,0.0
New York,December,2021,0.0,1000000.0,0.0
New York,February,2020,12436.0,900000.0,0.12435999999999998
New York,February,2021,0.0,1000000.0,0.0
New York,January,2020,11538.0,900000.0,0.11538000000000001
New York,January,2021,0.0,1000000.0,0.0
New York,July,2020,0.0,1000000.0,0.0
New York,July,2021,0.0,1000000.0,0.0
New York,June,2020,0.0,1000000.0,0.0
New York,June,2021,0.0,1000000.0,0.0
New York,March,2020,6891.0,900000.0,0.06891
New York,March,2021,0.0,1000000.0,0.0
New York,May,2020,0.0,1000000.0,0.0
New York,May,2021,0.0,1000000.0,0.0
New York,November,2020,0.0,1000000.0,0.0
New York,November,2021,0.0,1000000.0,0.0
New York,October,2020,0.0,1000000.0,0.0
New York,October,2021,0.0,1000000.0,0.0
New York,September,2020,0.0,1000000.0,0.0
New York,September,2021,0.0,1000000.0,0.0
North Carolina,April,2020,0.0,700000.0,0.0
North Carolina,April,2021,7.0,700000.0,7e-05
North Carolina,August,2020,0.0,700000.0,0.0
North Carolina,August,2021,12013.0,700000.0,0.12013
North Carolina,December,2020,11880.0,700000.0,0.11879999999999999
North Carolina,December,2021,2966.0,600000.0,0.02966
North Carolina,February,2020,22332.0,700000.0,0.22332
North Carolina,February,2021,15700.0,700000.0,0.157
North Carolina,January,2020,20929.0,700000.0,0.20929
North Carolina,January,2021,17327.0,700000.0,0.17327
North Carolina,July,2020,0.0,700000.0,0.0
North Carolina,July,2021,11099.0,700000.0,0.11098999999999999
North Carolina,June,2020,0.0,700000.0,0.0
North Carolina,June,2021,5881.0,600000.0,0.058809999999999994
North Carolina,March,2020,11123.0,700000.0,0.11123000000000001
North Carolina,March,2021,3.0,700000.0,3.0000000000000004e-05
North Carolina,May,2020,0.0,700000.0,0.0
North Carolina,May,2021,411.0,700000.0,0.00411
North Carolina,November,2020,17568.0,700000.0,0.17568
North Carolina,November,2021,1099.0,700000.0,0.010990000000000002
North Carolina,October,2020,0.0,700000.0,0.0
North Carolina,October,2021,2303.0,700000.0,0.02303
North Carolina,September,2020,0.0,700000.0,0.0
North Carolina,September,2021,16350.0,700000.0,0.1635
North Dakota,April,2020,0.0,400000.0,0.0
North Dakota,April,2021,672.0,400000.0,0.006719999999999999
North Dakota,August,2020,309.0,400000.0,0.00309
North Dakota,August,2021,985.0,400000.0,0.00985
North Dakota,December,2020,226.0,400000.0,0.00226
North Dakota,December,2021,211.0,400000.0,0.00211
North Dakota,February,2020,237.0,400000.0,0.0023699999999999997
North Dakota,February,2021,207.0,400000.0,0.0020700000000000002
North Dakota,January,2020,286.0,400000.0,0.00286
North Dakota,January,2021,347.0,400000.0,0.0034699999999999996
North Dakota,July,2020,10.0,400000.0,0.0001
North Dakota,July,2021,944.0,400000.0,0.00944
North Dakota,June,2020,0.0,400000.0,0.0
North Dakota,June,2021,1047.0,400000.0,0.01047
North Dakota,March,2020,128.0,400000.0,0.0012799999999999999
North Dakota,March,2021,384.0,400000.0,0.00384
North Dakota,May,2020,0.0,400000.0,0.0
