State,Month,Year,Number of Disconnections,Total Connections,Disconnection Rate,code
New Hampshire,October,2021,832,500000,0.00832,NH
New Hampshire,September,2020,0,500000,0.00000,NH
New Hampshire,September,2021,1391,500000,0.01391,NH
New Mexico,August,2021,3146,500000,0.03146,NM
New Mexico,December,2021,2127,500000,0.02127,NM
New Mexico,July,2021,200,100000,0.00200,NM
New Mexico,June,2021,133,100000,0.00133,NM
New Mexico,May,2021,556,100000,0.00556,NM
New Mexico,November,2021,2860,500000,0.02860,NM
New Mexico,October,2021,3751,500000,0.03751,NM
New Mexico,September,2021,5367,500000,0.05367,NM
New York,April,2020,0,1000000,0.00000,NY
New York,April,2021,0,1000000,0.00000,NY
New York,August,2020,0,1000000,0.00000,NY
New York,August,2021,0,1000000,0.00000,NY
New York,December,2020,0,1000000,0.00000,NY
New York,December,2021,0,1000000,0.00000,NY
New York,February,2020,12436,900000,0.12436,NY
New York,February,2021,0,1000000,0.00000,NY
New York,January,2020,11538,900000,0.11538,NY
New York,January,2021,0,1000000,0.00000,NY
New York,July,2020,0,1000000,0.00000,NY
New York,July,2021,0,1000000,0.00000,NY
New York,June,2020,0,1000000,0.00000,NY
New York,June,2021,0,1000000,0.00000,NY
New York,March,2020,6891,900000,0.06891,NY
New York,March,2021,0,1000000,0.00000,NY
New York,May,2020,0,1000000,0.00000,NY
New York,May,2021,0,1000000,0.00000,NY
New York,November,2020,0,1000000,0.00000,NY
New York,November,2021,0,1000000,0.00000,NY
New York,October,2020,0,1000000,0.00000,NY
New York,October,2021,0,1000000,0.00000,NY
New York,September,2020,0,1000000,0.00000,NY
New York,September,2021,0,1000000,0.00000,NY
North Carolina,April,2020,0,700000,0.00000,NC
North Carolina,April,2021,7,700000,0.00007,NC
North Carolina,August,2020,0,700000,0.00000,NC
North Carolina,August,2021,12013,700000,0.12013,NC
North Carolina,December,2020,11880,700000,0.11880,NC
North Carolina,December,2021,2966,600000,0.02966,NC
North Carolina,February,2020,22332,700000,0.22332,NC
North Carolina,February,2021,15700,700000,0.15700,NC
North Carolina,January,2020,20929,700000,0.20929,NC
North Carolina,January,2021,17327,700000,0.17327,NC
North Carolina,July,2020,0,700000,0.00000,NC
North Carolina,July,2021,11099,700000,0.11099,NC
North Carolina,June,2020,0,700000,0.00000,NC
North Carolina,June,2021,5881,600000,0.05881,NC
North Carolina,March,2020,11123,700000,0.11123,NC
North Carolina,March,2021,3,700000,0.00003,NC
North Carolina,May,2020,0,700000,0.00000,NC
North Carolina,May,2021,411,700000,0.00411,NC
North Carolina,November,2020,17568,700000,0.17568,NC
North Carolina,November,2021,1099,700000,0.01099,NC
North Carolina,October,2020,0,700000,0.00000,NC
North Carolina,October,2021,2303,700000,0.02303,NC
North Carolina,September,2020,0,700000,0.00000,NC
North Carolina,September,2021,16350,700000,0.16350,NC
North Dakota,April,2020,0,400000,0.00000,ND
North Dakota,April,2021,672,400000,0.00672,ND
North Dakota,August,2020,309,400000,0.00309,ND
North Dakota,August,2021,985,400000,0.00985,ND
North Dakota,December,2020,226,400000,0.00226,ND
North Dakota,December,2021,211,400000,0.00211,ND
North Dakota,February,2020,237,400000,0.00237,ND
North Dakota,February,2021,207,400000,0.00207,ND
North Dakota,January,2020,286,400000,0.00286,ND
North Dakota,January,2021,347,400000,0.00347,ND
North Dakota,July,2020,10,400000,0.00010,ND
North Dakota,July,2021,944,400000,0.00944,ND
North Dakota,June,2020,0,400000,0.00000,ND
North Dakota,June,2021,1047,400000,0.01047,ND
North Dakota,March,2020,128,400000,0.00128,ND
North Dakota,March,2021,384,400000,0.00384,ND
North Dakota,May,2020,0,400000,0.00000,ND
North Dakota,May,2021,850,400000,0.00850,ND
North Dakota,November,2020,322,400000,0.00322,ND
North Dakota,November,2021,490,400000,0.00490,ND
North Dakota,October,2020,1193,400000,0.01193,ND
North Dakota,October,2021,852,400000,0.00852,ND
North Dakota,September,2020,350,400000,0.00350,ND
North Dakota,September,2021,1083,400000,0.01083,ND
Ohio,April,2015,53434,8900008,12.26476,OH
Ohio,April,2016,48434,8927041,9.91282,OH
Ohio,April,2017,36892,7130337,9.18373,OH
Ohio,April,2018,39614,7138345,7.67488,OH
Ohio,April,2019,39647,7173679,10.29106,OH
Ohio,April,2020,4,7249216,0.00048,OH
Ohio,April,2021,57624,8612828,6.82890,OH
Ohio,April,2022,45319,9222282,11.35046,OH
Ohio,August,2014,59259,8794375,9.08883,OH
Ohio,August,2015,60902,8832849,11.79809,OH
Ohio,August,2016,49676,7044279,12.91578,OH
Ohio,August,2017,43751,7040801,9.25410,OH
Ohio,August,2018,47451,7085408,12.95070,OH
Ohio,August,2019,47655,7147303,11.72010,OH
Ohio,August,2020,7112,8842321,7.39159,OH
Ohio,August,2021,47351,9155324,9.59583,OH
Ohio,December,2014,24058,8886376,3.96177,OH
Ohio,December,2015,30459,8917722,5.15456,OH
Ohio,December,2016,13725,7125068,2.51320,OH
Ohio,December,2017,11674,7125763,2.19329,OH
Ohio,December,2018,21991,7167159,4.60766,OH
Ohio,December,2019,25433,7227841,5.11407,OH
Ohio,December,2020,48350,8882270,4.67819,OH
Ohio,December,2021,28109,9212810,3.74368,OH
Ohio,February,2015,5038,8907030,1.02365,OH
Ohio,February,2016,28342,8942281,5.00774,OH
Ohio,February,2017,28691,7135199,5.79586,OH
Ohio,February,2018,26493,7145492,4.61567,OH
Ohio,February,2019,29729,7183970,7.05756,OH
Ohio,February,2020,29959,7238579,6.04755,OH
Ohio,February,2021,22879,8856624,2.57411,OH
Ohio,February,2022,28540,9207530,4.68620,OH
Ohio,January,2015,12986,8907730,2.06412,OH
Ohio,January,2016,19940,8928140,4.22788,OH
Ohio,January,2017,25706,7139030,4.48676,OH
Ohio,January,2018,17796,7151271,3.22137,OH
Ohio,January,2019,16543,7180015,4.07696,OH
Ohio,January,2020,30716,7237463,6.22829,OH
Ohio,January,2021,40842,8892028,4.19722,OH
Ohio,January,2022,12078,9220905,1.89911,OH
Ohio,July,2014,67915,8806989,10.20195,OH
Ohio,July,2015,62877,8842096,13.95259,OH
Ohio,July,2016,45009,7042226,14.17219,OH
Ohio,July,2017,43976,7051525,10.25782,OH
Ohio,July,2018,44746,7091385,12.71067,OH
Ohio,July,2019,44944,7157505,12.12206,OH
Ohio,July,2020,378,8843549,2.46244,OH
Ohio,July,2021,41988,9155855,7.65462,OH
Ohio,June,2014,66026,8826442,13.82996,OH
Ohio,June,2015,65418,8870002,17.94060,OH
