,State,Month,Year,Number of Disconnections,Total Connections,Disconnection Rate,code
477,Washington,March,2021,0,7614893,0,WA
478,Washington D.C.,March,2021,0,705749,0,WA
479,Wisconsin,March,2021,0,5822434,0,WI
480,Arizona,April,2021,7366,4903185,0.0015,AZ
481,California,April,2021,0,39512223,0,CA
482,Colorado,April,2021,1106,5758736,0.0002,CO
483,Connecticut,April,2021,0,3565287,0,CT
484,Florida,April,2021,85568,21477737,0.004,FL
485,Georgia,April,2021,17099,10617423,0.0016,GA
486,Illinois,April,2021,17242,12671821,0.0014,IL
487,Indiana,April,2021,16024,6732219,0.0024,IN
488,Iowa,April,2021,4957,3155070,0.0016,IA
489,Kentucky,April,2021,1351,4467673,0.0003,KY
490,Maine,April,2021,0,1344212,0,ME
491,Maryland,April,2021,5493,6045680,0.0009,MD
492,Massachusetts,April,2021,0,6892503,0,MA
493,Michigan,April,2021,6925,9986857,0.0007,MI
494,Minnesota,April,2021,0,5639632,0,MN
495,Missouri,April,2021,5281,6137428,0.0009,MO
496,New Hampshire,April,2021,691,1359711,0.0005,NH
497,New Mexico,April,2021,0,2096829,0,NM
498,New York,April,2021,0,19453561,0,NY
499,North Carolina,April,2021,0,10488084,0,NC
500,North Dakota,April,2021,665,762062,0.0009,ND
501,Ohio,April,2021,24468,11689100,0.0021,OH
502,Oregon,April,2021,0,4217737,0,OR
503,Pennsylvania,April,2021,8932,12801989,0.0007,PA
504,Rhode Island,April,2021,0,1059361,0,RI
505,South Carolina,April,2021,3236,5148714,0.0006,SC
506,South Dakota,April,2021,0,884659,0,SD
507,Utah,April,2021,225,3205958,0.0001,UT
508,Vermont,April,2021,0,623989,0,VT
509,Washington,April,2021,0,7614893,0,WA
510,Washington D.C.,April,2021,1,705749,0,WA
511,Wisconsin,April,2021,0,5822434,0,WI
512,Arizona,May,2021,3029,4903185,0.0006,AZ
513,California,May,2021,0,39512223,0,CA
514,Colorado,May,2021,741,5758736,0.0001,CO
515,Connecticut,May,2021,0,3565287,0,CT
516,Florida,May,2021,89196,21477737,0.0042,FL
517,Georgia,May,2021,18387,10617423,0.0017,GA
518,Illinois,May,2021,30185,12671821,0.0024,IL
519,Indiana,May,2021,15799,6732219,0.0023,IN
520,Iowa,May,2021,3335,3155070,0.0011,IA
521,Kentucky,May,2021,1519,4467673,0.0003,KY
522,Maine,May,2021,0,1344212,0,ME
523,Maryland,May,2021,5014,6045680,0.0008,MD
524,Massachusetts,May,2021,0,6892503,0,MA
525,Michigan,May,2021,8251,9986857,0.0008,MI
526,Minnesota,May,2021,0,5639632,0,MN
527,Missouri,May,2021,12789,6137428,0.0021,MO
528,New Hampshire,May,2021,844,1359711,0.0006,NH
529,New Mexico,May,2021,0,2096829,0,NM
530,New York,May,2021,0,19453561,0,NY
531,North Carolina,May,2021,392,10488084,0,NC
532,North Dakota,May,2021,844,762062,0.0011,ND
533,Ohio,May,2021,28959,11689100,0.0025,OH
534,Oregon,May,2021,0,4217737,0,OR
535,Pennsylvania,May,2021,25271,12801989,0.002,PA
536,Rhode Island,May,2021,0,1059361,0,RI
537,South Carolina,May,2021,3025,5148714,0.0006,SC
538,South Dakota,May,2021,0,884659,0,SD
539,Utah,May,2021,193,3205958,0.0001,UT
540,Vermont,May,2021,3,623989,0,VT
541,Washington,May,2021,0,7614893,0,WA
542,Washington D.C.,May,2021,0,705749,0,WA
543,Wisconsin,May,2021,0,5822434,0,WI
544,Arizona,June,2021,0,4903185,0,AZ
545,California,June,2021,0,39512223,0,CA
546,Colorado,June,2021,1081,5758736,0.0002,CO
547,Connecticut,June,2021,0,3565287,0,CT
548,Florida,June,2021,107398,21477737,0.005,FL
549,Georgia,June,2021,20838,10617423,0.002,GA
550,Illinois,June,2021,27657,12671821,0.0022,IL
551,Indiana,June,2021,16856,6732219,0.0025,IN
552,Iowa,June,2021,3740,3155070,0.0012,IA
553,Kentucky,June,2021,8540,4467673,0.0019,KY
554,Maine,June,2021,0,1344212,0,ME
555,Maryland,June,2021,6116,6045680,0.001,MD
556,Massachusetts,June,2021,0,6892503,0,MA
557,Michigan,June,2021,8555,9986857,0.0009,MI
558,Minnesota,June,2021,0,5639632,0,MN
559,Missouri,June,2021,7368,6137428,0.0012,MO
560,New Hampshire,June,2021,467,1359711,0.0003,NH
561,New Mexico,June,2021,0,2096829,0,NM
